goal_index,feature,feature_label,outcome,n,mean,median,std,boot_ci_low,boot_ci_high,diff_suc_minus_fai,hedges_g,diff_boot_ci_low,diff_boot_ci_high,warning
0,layer22_final_mean,L22 final-phase mean,failure,8,4.838,4.848,0.694,4.379,5.249,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_trans_change,L22 think-to-final transition change,success,4,-2.224,-2.287,1.109,-3.185,-1.199,-1.059,-1.006,-2.199,0.104,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_trans_change,L22 think-to-final transition change,failure,8,-1.165,-1.007,0.907,-1.760,-0.590,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_first500,L22 first 500 thinking tokens,success,7,4.072,4.363,1.603,3.007,5.226,0.435,0.273,-0.965,1.837,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_first500,L22 first 500 thinking tokens,failure,5,3.636,3.325,1.246,2.697,4.648,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer13_first500,L13 first 500 thinking tokens,success,7,3.065,3.215,0.552,2.677,3.414,0.403,0.649,-0.185,1.004,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer13_first500,L13 first 500 thinking tokens,failure,5,2.662,2.347,0.604,2.218,3.193,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer16_first500,L16 first 500 thinking tokens,success,7,3.048,3.432,0.700,2.588,3.525,0.390,0.525,-0.284,1.071,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer16_first500,L16 first 500 thinking tokens,failure,5,2.658,2.319,0.662,2.158,3.175,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_bin0,L22 normalized bin 0 (first 10%),success,7,4.029,4.557,1.607,2.948,5.141,0.568,0.359,-0.850,1.971,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_bin0,L22 normalized bin 0 (first 10%),failure,5,3.460,2.749,1.213,2.551,4.412,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_bin9,L22 normalized bin 9 (last 10%),success,7,5.446,5.134,1.656,4.468,6.633,0.626,0.399,-0.710,2.113,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_bin9,L22 normalized bin 9 (last 10%),failure,5,4.821,5.461,1.057,3.891,5.569,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_think_mean,L22 full think-phase mean,success,7,4.978,4.671,2.134,3.857,6.549,0.745,0.394,-0.652,2.595,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_think_mean,L22 full think-phase mean,failure,5,4.234,4.432,0.880,3.513,4.873,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_final_mean,L22 final-phase mean,success,7,6.307,6.242,0.636,5.861,6.735,1.198,1.988,0.644,1.719,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_final_mean,L22 final-phase mean,failure,5,5.110,5.147,0.409,4.802,5.446,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_trans_change,L22 think-to-final transition change,success,7,-2.083,-2.129,1.088,-2.844,-1.364,-1.165,-1.077,-2.133,-0.203,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,layer22_trans_change,L22 think-to-final transition change,failure,5,-0.917,-0.520,0.847,-1.559,-0.276,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_first500,L22 first 500 thinking tokens,success,5,5.393,4.758,1.136,4.554,6.334,2.640,3.034,1.762,3.544,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_first500,L22 first 500 thinking tokens,failure,6,2.753,2.646,0.326,2.528,2.977,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer13_first500,L13 first 500 thinking tokens,success,5,3.488,3.470,0.098,3.412,3.564,1.043,5.775,0.858,1.202,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer13_first500,L13 first 500 thinking tokens,failure,6,2.445,2.330,0.204,2.314,2.599,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer16_first500,L16 first 500 thinking tokens,success,5,3.496,3.254,0.400,3.200,3.823,1.191,3.694,0.877,1.537,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer16_first500,L16 first 500 thinking tokens,failure,6,2.304,2.248,0.169,2.189,2.427,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_bin0,L22 normalized bin 0 (first 10%),success,5,5.420,4.841,1.284,4.577,6.586,2.775,2.952,1.940,3.923,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_bin0,L22 normalized bin 0 (first 10%),failure,6,2.645,2.625,0.102,2.574,2.719,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_bin9,L22 normalized bin 9 (last 10%),success,5,5.820,6.195,0.738,5.233,6.377,1.896,3.143,1.261,2.507,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_bin9,L22 normalized bin 9 (last 10%),failure,6,3.924,3.767,0.334,3.721,4.183,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_think_mean,L22 full think-phase mean,success,5,5.480,5.588,1.012,4.673,6.286,1.947,2.494,1.108,2.742,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_think_mean,L22 full think-phase mean,failure,6,3.533,3.521,0.312,3.308,3.759,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_final_mean,L22 final-phase mean,success,5,5.638,5.586,0.783,5.052,6.330,-0.217,-0.182,-1.364,0.831,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_final_mean,L22 final-phase mean,failure,6,5.855,5.733,1.279,5.036,6.865,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_trans_change,L22 think-to-final transition change,success,5,-0.755,-0.992,0.820,-1.338,-0.141,0.363,0.264,-0.948,1.531,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,layer22_trans_change,L22 think-to-final transition change,failure,6,-1.118,-1.313,1.519,-2.074,0.014,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_first500,L22 first 500 thinking tokens,success,3,5.609,4.539,2.150,4.203,8.084,2.904,1.524,1.498,5.356,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_first500,L22 first 500 thinking tokens,failure,3,2.705,2.655,0.152,2.585,2.876,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer13_first500,L13 first 500 thinking tokens,success,3,3.513,3.516,0.184,3.328,3.695,1.105,5.355,0.888,1.322,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer13_first500,L13 first 500 thinking tokens,failure,3,2.408,2.440,0.144,2.250,2.533,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer16_first500,L16 first 500 thinking tokens,success,3,3.852,3.377,0.906,3.283,4.897,1.563,1.930,0.945,2.530,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer16_first500,L16 first 500 thinking tokens,failure,3,2.289,2.214,0.137,2.206,2.448,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_bin0,L22 normalized bin 0 (first 10%),success,3,5.499,4.644,1.970,4.101,7.752,3.068,1.762,1.675,5.321,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_bin0,L22 normalized bin 0 (first 10%),failure,3,2.431,2.427,0.040,2.393,2.472,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_bin9,L22 normalized bin 9 (last 10%),success,3,5.321,5.238,0.640,4.727,5.998,0.748,1.168,0.105,1.391,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_bin9,L22 normalized bin 9 (last 10%),failure,3,4.573,4.678,0.341,4.192,4.849,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_think_mean,L22 full think-phase mean,success,3,5.364,4.655,1.290,4.583,6.853,1.964,1.707,1.097,3.423,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_think_mean,L22 full think-phase mean,failure,3,3.399,3.350,0.170,3.259,3.589,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_final_mean,L22 final-phase mean,success,3,5.705,5.700,0.041,5.665,5.748,0.951,0.843,-0.280,2.246,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_final_mean,L22 final-phase mean,failure,3,4.754,4.819,1.276,3.447,5.995,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_trans_change,L22 think-to-final transition change,success,3,-1.389,-1.002,0.722,-2.222,-0.942,2.532,0.726,-1.470,5.372,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,layer22_trans_change,L22 think-to-final transition change,failure,3,-3.921,-5.541,3.881,-6.730,0.508,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
