goal_index,layer,normalized_bin,n_success,n_failure,success_mean,failure_mean,mean_difference,hedges_g,bootstrap_ci_low,bootstrap_ci_high,warning
2,13,4,5,6,3.636,2.815,0.820,2.659,0.508,1.141,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,13,5,5,6,3.545,2.903,0.642,2.677,0.395,0.882,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,13,6,5,6,3.632,2.860,0.771,3.991,0.582,0.966,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,13,7,5,6,3.541,2.849,0.692,3.450,0.479,0.893,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,13,8,5,6,3.489,2.907,0.582,3.182,0.400,0.774,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,13,9,5,6,3.432,2.970,0.462,2.871,0.308,0.630,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,0,3,3,3.503,2.408,1.095,4.334,0.821,1.336,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,1,3,3,3.459,2.657,0.802,2.860,0.533,1.073,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,2,3,3,3.543,2.793,0.750,2.393,0.428,1.073,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,3,3,3,3.418,2.859,0.559,4.898,0.431,0.667,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,4,3,3,3.320,2.828,0.492,2.866,0.296,0.652,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,5,3,3,3.249,2.856,0.393,1.820,0.190,0.607,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,6,3,3,3.311,2.963,0.348,1.748,0.147,0.530,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,7,3,3,3.478,2.966,0.512,2.285,0.294,0.773,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,8,3,3,3.533,2.897,0.636,3.369,0.437,0.835,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,13,9,3,3,3.390,3.138,0.252,1.266,0.051,0.459,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,0,4,8,3.099,2.507,0.591,1.238,0.093,1.132,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,1,4,8,3.197,2.676,0.521,1.444,0.180,0.885,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,2,4,8,3.277,2.832,0.445,1.065,0.018,0.868,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,3,4,8,3.334,2.933,0.401,0.860,-0.037,0.864,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,4,4,8,3.401,2.944,0.458,1.002,0.034,0.849,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,5,4,8,3.898,2.994,0.904,1.237,0.039,1.849,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,6,4,8,3.707,3.056,0.651,1.052,-0.019,1.362,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,7,4,8,3.608,3.155,0.453,0.781,-0.119,1.063,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,8,4,8,3.512,3.125,0.388,0.701,-0.166,0.972,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,16,9,4,8,3.829,3.255,0.574,1.010,-0.111,1.269,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,0,7,5,3.044,2.592,0.452,0.660,-0.237,1.093,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,1,7,5,3.223,2.680,0.543,0.844,-0.085,1.146,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,2,7,5,3.255,2.917,0.338,0.713,-0.141,0.791,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,3,7,5,3.477,2.924,0.554,0.743,-0.081,1.299,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,4,7,5,3.519,2.982,0.537,0.577,-0.169,1.374,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,5,7,5,3.703,2.790,0.913,0.835,0.200,1.867,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,6,7,5,3.310,2.985,0.325,0.840,-0.012,0.683,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,7,7,5,3.411,2.997,0.414,1.208,0.107,0.758,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,8,7,5,3.351,3.143,0.208,0.451,-0.196,0.695,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,16,9,7,5,3.508,3.126,0.382,0.913,0.031,0.799,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,0,5,6,3.448,2.330,1.118,3.070,0.784,1.534,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,1,5,6,3.450,2.553,0.897,1.956,0.436,1.384,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,2,5,6,3.511,2.699,0.812,1.543,0.336,1.421,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,3,5,6,3.581,2.787,0.794,1.860,0.360,1.235,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,4,5,6,3.777,2.815,0.962,1.648,0.359,1.516,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,5,5,6,3.630,2.927,0.703,1.648,0.272,1.099,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,6,5,6,3.779,2.849,0.930,2.583,0.557,1.316,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,7,5,6,3.613,2.858,0.755,2.036,0.370,1.119,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,8,5,6,3.617,2.902,0.715,1.975,0.339,1.084,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,16,9,5,6,3.666,2.959,0.706,3.544,0.505,0.905,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,0,3,3,3.748,2.296,1.452,1.895,0.773,2.381,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,1,3,3,3.826,2.573,1.253,1.415,0.471,2.301,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,2,3,3,3.997,2.724,1.273,1.251,0.443,2.551,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,3,3,3,3.653,2.823,0.831,1.914,0.403,1.299,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,4,3,3,3.568,2.754,0.814,1.411,0.291,1.347,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,5,3,3,3.429,2.799,0.631,3.617,0.454,0.804,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,6,3,3,3.710,2.905,0.805,1.152,0.216,1.685,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,7,3,3,3.770,2.881,0.889,1.257,0.285,1.778,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,8,3,3,3.902,2.807,1.095,1.704,0.569,1.865,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,16,9,3,3,3.691,3.356,0.335,0.651,-0.176,0.845,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,0,4,8,4.097,3.121,0.975,0.999,-0.152,2.119,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,1,4,8,4.232,3.458,0.774,0.870,-0.244,1.769,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,2,4,8,4.428,4.075,0.353,0.323,-0.922,1.652,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,3,4,8,4.831,3.952,0.879,0.716,-0.269,2.043,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,4,4,8,4.875,3.969,0.906,0.661,-0.315,2.235,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,5,4,8,5.828,4.155,1.673,0.989,-0.366,3.853,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,6,4,8,5.802,4.236,1.566,0.922,-0.194,3.375,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,7,4,8,5.091,4.487,0.604,0.373,-0.891,2.345,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,8,4,8,5.214,4.310,0.904,0.612,-0.548,2.499,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,22,9,4,8,6.755,4.648,2.106,1.569,0.581,3.726,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,22,0,7,5,4.029,3.460,0.568,0.359,-0.895,1.931,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
