layer,pair,cosine_similarity
20,eoi_vs_startofthink,
20,eoi_vs_endofthink,0.119433
20,eoi_vs_behavioral,-0.055949
20,startofthink_vs_endofthink,
20,startofthink_vs_behavioral,
20,endofthink_vs_behavioral,0.067544
21,eoi_vs_startofthink,
21,eoi_vs_endofthink,0.149346
21,eoi_vs_behavioral,-0.078736
21,startofthink_vs_endofthink,
21,startofthink_vs_behavioral,
21,endofthink_vs_behavioral,0.027558
22,eoi_vs_startofthink,
22,eoi_vs_endofthink,0.277853
22,eoi_vs_behavioral,-0.059209
22,startofthink_vs_endofthink,
22,startofthink_vs_behavioral,
22,endofthink_vs_behavioral,-0.074621
23,eoi_vs_startofthink,
23,eoi_vs_endofthink,0.266571
23,eoi_vs_behavioral,-0.068121
23,startofthink_vs_endofthink,
23,startofthink_vs_behavioral,
23,endofthink_vs_behavioral,-0.103074
24,eoi_vs_startofthink,
24,eoi_vs_endofthink,0.312095
24,eoi_vs_behavioral,-0.082014
24,startofthink_vs_endofthink,
24,startofthink_vs_behavioral,
24,endofthink_vs_behavioral,-0.120601
25,eoi_vs_startofthink,
25,eoi_vs_endofthink,0.397828
25,eoi_vs_behavioral,-0.053682
25,startofthink_vs_endofthink,
25,startofthink_vs_behavioral,
25,endofthink_vs_behavioral,-0.127818
26,eoi_vs_startofthink,
26,eoi_vs_endofthink,0.405033
26,eoi_vs_behavioral,-0.0578
26,startofthink_vs_endofthink,
26,startofthink_vs_behavioral,
26,endofthink_vs_behavioral,-0.154965
27,eoi_vs_startofthink,
27,eoi_vs_endofthink,0.381598
27,eoi_vs_behavioral,-0.036443
27,startofthink_vs_endofthink,
27,startofthink_vs_behavioral,
27,endofthink_vs_behavioral,-0.128195
28,eoi_vs_startofthink,
28,eoi_vs_endofthink,0.33697
28,eoi_vs_behavioral,-0.024442
28,startofthink_vs_endofthink,
28,startofthink_vs_behavioral,
28,endofthink_vs_behavioral,-0.142211
29,eoi_vs_startofthink,
29,eoi_vs_endofthink,0.299154
29,eoi_vs_behavioral,-0.03104
29,startofthink_vs_endofthink,
29,startofthink_vs_behavioral,
29,endofthink_vs_behavioral,-0.156759
30,eoi_vs_startofthink,
30,eoi_vs_endofthink,0.266076
30,eoi_vs_behavioral,-0.03504
30,startofthink_vs_endofthink,
30,startofthink_vs_behavioral,
30,endofthink_vs_behavioral,-0.145791
31,eoi_vs_startofthink,
31,eoi_vs_endofthink,0.244303
31,eoi_vs_behavioral,-0.031199
31,startofthink_vs_endofthink,
31,startofthink_vs_behavioral,
31,endofthink_vs_behavioral,-0.113728
32,eoi_vs_startofthink,
32,eoi_vs_endofthink,0.200276
32,eoi_vs_behavioral,-0.030486
32,startofthink_vs_endofthink,
32,startofthink_vs_behavioral,
32,endofthink_vs_behavioral,-0.098459
33,eoi_vs_startofthink,
33,eoi_vs_endofthink,0.157147
33,eoi_vs_behavioral,-0.01981
33,startofthink_vs_endofthink,
33,startofthink_vs_behavioral,
33,endofthink_vs_behavioral,-0.080458
34,eoi_vs_startofthink,
34,eoi_vs_endofthink,0.128764
34,eoi_vs_behavioral,-0.039418
34,startofthink_vs_endofthink,
34,startofthink_vs_behavioral,
34,endofthink_vs_behavioral,-0.093253
35,eoi_vs_startofthink,
35,eoi_vs_endofthink,0.10054
35,eoi_vs_behavioral,-0.045199
35,startofthink_vs_endofthink,
35,startofthink_vs_behavioral,
35,endofthink_vs_behavioral,-0.07105
36,eoi_vs_startofthink,
36,eoi_vs_endofthink,0.08579
36,eoi_vs_behavioral,-0.03575
36,startofthink_vs_endofthink,
36,startofthink_vs_behavioral,
36,endofthink_vs_behavioral,-0.061776
37,eoi_vs_startofthink,
37,eoi_vs_endofthink,0.077326
37,eoi_vs_behavioral,-0.036935
37,startofthink_vs_endofthink,
37,startofthink_vs_behavioral,
37,endofthink_vs_behavioral,-0.05021
38,eoi_vs_startofthink,
38,eoi_vs_endofthink,0.06005
38,eoi_vs_behavioral,-0.046248
38,startofthink_vs_endofthink,
38,startofthink_vs_behavioral,
38,endofthink_vs_behavioral,-0.047885
39,eoi_vs_startofthink,
39,eoi_vs_endofthink,0.060919
39,eoi_vs_behavioral,-0.006226
39,startofthink_vs_endofthink,
39,startofthink_vs_behavioral,
39,endofthink_vs_behavioral,-0.090446
